workload,strategy,property,mutations,mode,discards,tests,shrinks,time
"rbt-rocq","SpecificationBasedGenerator","InsertDelete",["no_balance_insert_1"],"solve",NaN,NaN,NaN,NaN
"rbt-rocq","SpecificationBasedGenerator","InsertDelete",["no_balance_insert_2"],"solve",0.00,2.70,0.00,0.0075
"rbt-rocq","SpecificationBasedGenerator","InsertDelete",["swap_bc"],"solve",0.00,193.70,0.00,0.1964
"rbt-rocq","SpecificationBasedGenerator","InsertDelete",["swap_cd"],"solve",0.00,2.20,0.00,0.0026
"rbt-rocq","SpecificationBasedGenerator","InsertPost",["insert_1"],"solve",20.10,0.40,0.00,0.0006
"rbt-rocq","SpecificationBasedGenerator","InsertPost",["insert_2"],"solve",79.20,4.10,0.00,0.0023
"rbt-rocq","SpecificationBasedGenerator","InsertPost",["insert_3"],"solve",164.20,1.90,0.00,0.0038
"rbt-rocq","SpecificationBasedGenerator","InsertPost",["swap_bc"],"solve",0.00,5.30,0.00,0.0879
"rbt-rocq","SpecificationBasedGenerator","InsertPost",["swap_cd"],"solve",0.00,28.40,0.00,0.0226
"rbt-rocq","SpecificationBasedGenerator","InsertModel",["insert_1"],"solve",1.00,0.00,0.00,0.0001
"rbt-rocq","SpecificationBasedGenerator","InsertModel",["insert_2"],"solve",22.70,0.50,0.00,0.0007
"rbt-rocq","SpecificationBasedGenerator","InsertModel",["insert_3"],"solve",27.80,0.30,0.00,0.0008
"rbt-rocq","SpecificationBasedGenerator","InsertModel",["swap_bc"],"solve",0.00,16.00,0.00,0.0240
"rbt-rocq","SpecificationBasedGenerator","InsertModel",["swap_cd"],"solve",0.00,0.00,0.00,0.0001
"rbt-rocq","SpecificationBasedGenerator","InsertInsert",["insert_1"],"solve",2.90,0.00,0.00,0.0001
"rbt-rocq","SpecificationBasedGenerator","InsertInsert",["insert_2"],"solve",2.70,0.00,0.00,0.0001
"rbt-rocq","SpecificationBasedGenerator","InsertInsert",["insert_3"],"solve",6.70,0.00,0.00,0.0002
"rbt-rocq","SpecificationBasedGenerator","InsertInsert",["swap_bc"],"solve",0.00,101.70,0.00,0.0678
"rbt-rocq","SpecificationBasedGenerator","InsertInsert",["swap_cd"],"solve",0.00,0.10,0.00,0.0003
"rbt-rocq","SpecificationBasedGenerator","InsertValid",["miscolor_insert"],"solve",1.00,0.00,0.00,0.0001
"rbt-rocq","SpecificationBasedGenerator","InsertValid",["no_balance_insert_1"],"solve",3.10,0.00,0.00,0.0001
"rbt-rocq","SpecificationBasedGenerator","InsertValid",["no_balance_insert_2"],"solve",0.00,1.30,0.00,0.0012
"rbt-rocq","SpecificationBasedGenerator","InsertValid",["swap_bc"],"solve",0.00,28.90,0.00,0.0256
"rbt-rocq","SpecificationBasedGenerator","InsertValid",["swap_cd"],"solve",0.00,0.10,0.00,0.0002
"rbt-rocq","SpecificationBasedGenerator","DeleteValid",["miscolor_delete"],"solve",1.20,0.00,0.00,0.0001
"rbt-rocq","SpecificationBasedGenerator","DeleteValid",["miscolor_balLeft"],"solve",458.10,4.30,0.00,0.0100
