workload,strategy,property,mutations,mode,discards,tests,shrinks,time
"rbt-racket","ProplangBespoke","InsertDelete",["delete_4"],"solve",0.00,0.00,0.00,0.0001
"rbt-racket","ProplangBespoke","InsertDelete",["insert_2"],"solve",0.00,0.00,0.00,0.0004
"rbt-racket","ProplangBespoke","InsertDelete",["insert_3"],"solve",0.00,0.00,0.00,0.0005
"rbt-racket","ProplangBespoke","InsertDelete",["no_balance_insert_1"],"solve",0.00,0.00,0.00,0.2179
"rbt-racket","ProplangBespoke","InsertDelete",["no_balance_insert_2"],"solve",0.00,0.00,0.00,0.1872
"rbt-racket","ProplangBespoke","InsertDelete",["swap_bc"],"solve",0.00,0.00,0.00,0.0251
"rbt-racket","ProplangBespoke","InsertDelete",["swap_cd"],"solve",0.00,0.00,0.00,0.0055
"rbt-racket","ProplangBespoke","InsertPost",["insert_1"],"solve",0.00,0.00,0.00,0.0003
"rbt-racket","ProplangBespoke","InsertPost",["insert_2"],"solve",0.00,0.00,0.00,0.0004
"rbt-racket","ProplangBespoke","InsertPost",["insert_3"],"solve",0.00,0.00,0.00,0.0007
"rbt-racket","ProplangBespoke","InsertPost",["swap_bc"],"solve",0.00,0.00,0.00,0.0432
"rbt-racket","ProplangBespoke","InsertPost",["swap_cd"],"solve",0.00,0.00,0.00,0.0251
"rbt-racket","ProplangBespoke","InsertModel",["insert_1"],"solve",0.00,0.00,0.00,0.0002
"rbt-racket","ProplangBespoke","InsertModel",["insert_2"],"solve",0.00,0.00,0.00,0.0002
"rbt-racket","ProplangBespoke","InsertModel",["insert_3"],"solve",0.00,0.00,0.00,0.0003
"rbt-racket","ProplangBespoke","InsertModel",["swap_bc"],"solve",0.00,0.00,0.00,0.0171
"rbt-racket","ProplangBespoke","InsertModel",["swap_cd"],"solve",0.00,0.00,0.00,0.0035
"rbt-racket","ProplangBespoke","InsertInsert",["insert_1"],"solve",0.00,0.00,0.00,0.0002
"rbt-racket","ProplangBespoke","InsertInsert",["insert_2"],"solve",0.00,0.00,0.00,0.0002
"rbt-racket","ProplangBespoke","InsertInsert",["insert_3"],"solve",0.00,0.00,0.00,0.0003
"rbt-racket","ProplangBespoke","InsertInsert",["swap_bc"],"solve",0.00,0.00,0.00,0.0286
"rbt-racket","ProplangBespoke","InsertInsert",["swap_cd"],"solve",0.00,0.00,0.00,0.0028
"rbt-racket","ProplangBespoke","InsertValid",["miscolor_insert"],"solve",0.00,0.00,0.00,0.0002
"rbt-racket","ProplangBespoke","InsertValid",["no_balance_insert_1"],"solve",0.00,0.00,0.00,0.0009
"rbt-racket","ProplangBespoke","InsertValid",["no_balance_insert_2"],"solve",0.00,0.00,0.00,0.0007
"rbt-racket","ProplangBespoke","InsertValid",["swap_bc"],"solve",0.00,0.00,0.00,0.0205
"rbt-racket","ProplangBespoke","InsertValid",["swap_cd"],"solve",0.00,0.00,0.00,0.0037
"rbt-racket","ProplangBespoke","DeleteValid",["miscolor_delete"],"solve",0.00,0.00,0.00,0.0004
"rbt-racket","ProplangBespoke","DeleteValid",["miscolor_balLeft"],"solve",0.00,0.00,0.00,0.0088
"rbt-racket","ProplangBespoke","DeleteValid",["miscolor_balRight"],"solve",0.00,0.00,0.00,0.0054
"rbt-racket","ProplangBespoke","DeleteValid",["miscolor_join_1"],"solve",0.00,0.00,0.00,1.9958
"rbt-racket","ProplangBespoke","DeleteValid",["miscolor_join_2"],"solve",0.00,0.00,0.00,0.0041
"rbt-racket","ProplangBespoke","DeleteValid",["swap_bc"],"solve",0.00,0.00,0.00,0.2782
"rbt-racket","ProplangBespoke","DeleteValid",["swap_cd"],"solve",0.00,0.00,0.00,0.0145
"rbt-racket","ParallelBespoke","DeleteDelete",["delete_4"],"solve",0.00,0.00,0.00,0.0011
"rbt-racket","ParallelBespoke","DeleteDelete",["delete_5"],"solve",0.00,0.00,0.00,0.0011
"rbt-racket","ParallelBespoke","DeleteDelete",["miscolor_balLeft"],"solve",0.00,0.00,0.00,0.0092
"rbt-racket","ParallelBespoke","DeleteDelete",["miscolor_balRight"],"solve",0.00,0.00,0.00,0.0249
"rbt-racket","ParallelBespoke","DeleteDelete",["miscolor_join_2"],"solve",0.00,0.00,0.00,0.0121
"rbt-racket","ParallelBespoke","DeleteDelete",["swap_bc"],"solve",0.00,0.00,0.00,0.0873
"rbt-racket","ParallelBespoke","DeleteDelete",["swap_cd"],"solve",0.00,0.00,0.00,0.0111
"rbt-racket","ParallelBespoke","DeleteModel",["delete_4"],"solve",0.00,0.00,0.00,0.0003
"rbt-racket","ParallelBespoke","DeleteModel",["delete_5"],"solve",0.00,0.00,0.00,0.0005
