workload,strategy,property,mutations,mode,discards,tests,shrinks,time
"bst-rocq","TypeBasedGenerator","UnionPost",["union_6"],"solve",37.20,5.40,0.00,0.0144
"bst-rocq","TypeBasedGenerator","UnionPost",["union_7"],"solve",231.30,1.60,0.00,0.0931
"bst-rocq","TypeBasedGenerator","UnionPost",["union_8"],"solve",584.50,355.60,0.00,0.3228
"bst-rocq","TypeBasedGenerator","UnionModel",["union_6"],"solve",40.50,0.00,0.00,0.1267
"bst-rocq","TypeBasedGenerator","UnionModel",["union_7"],"solve",313.20,3729.00,0.00,1.7839
"bst-rocq","TypeBasedGenerator","UnionModel",["union_8"],"solve",NaN,NaN,NaN,NaN
"bst-rocq","TypeBasedGenerator","UnionUnionAssoc",["union_6"],"solve",0.00,14295.50,0.00,10.8307
"bst-rocq","TypeBasedGenerator","UnionUnionAssoc",["union_7"],"solve",0.00,6961.20,0.00,7.0919
"bst-rocq","TypeBasedGenerator","UnionUnionAssoc",["union_8"],"solve",NaN,NaN,NaN,NaN
"bst-rocq","TypeBasedGenerator","UnionUnionIdem",["union_6"],"solve",0.00,0.00,0.00,0.0000
"bst-rocq","TypeBasedFuzzer","InsertPost",["insert_1"],"solve",8.30,0.00,0.00,0.0195
"bst-rocq","TypeBasedFuzzer","InsertPost",["insert_2"],"solve",4.80,0.00,0.00,0.0091
"bst-rocq","TypeBasedFuzzer","InsertPost",["insert_3"],"solve",301.60,623.10,0.00,0.1058
"bst-rocq","TypeBasedFuzzer","InsertModel",["insert_1"],"solve",2.00,0.40,0.00,0.0002
"bst-rocq","TypeBasedFuzzer","InsertModel",["insert_2"],"solve",3.10,0.20,0.00,0.0022
"bst-rocq","TypeBasedFuzzer","InsertModel",["insert_3"],"solve",19.30,7.70,0.00,0.0169
"bst-rocq","TypeBasedFuzzer","DeleteInsert",["insert_1"],"solve",11.80,5.20,0.00,0.0147
"bst-rocq","TypeBasedFuzzer","DeleteInsert",["insert_2"],"solve",5.70,98.60,0.00,0.0137
"bst-rocq","TypeBasedFuzzer","DeleteInsert",["delete_4"],"solve",2.20,0.20,0.00,0.0003
"bst-rocq","TypeBasedFuzzer","DeleteInsert",["delete_5"],"solve",6.30,0.20,0.00,0.0110
"bst-rocq","TypeBasedFuzzer","InsertInsert",["insert_1"],"solve",2.30,0.00,0.00,0.0002
"bst-rocq","TypeBasedFuzzer","InsertInsert",["insert_2"],"solve",8.40,6.60,0.00,0.0171
"bst-rocq","TypeBasedFuzzer","InsertInsert",["insert_3"],"solve",2.70,0.70,0.00,0.0025
"bst-rocq","TypeBasedFuzzer","InsertUnion",["insert_1"],"solve",3.20,0.30,0.00,0.0203
"bst-rocq","TypeBasedFuzzer","InsertUnion",["insert_2"],"solve",5.00,99.90,0.00,0.0750
"bst-rocq","TypeBasedFuzzer","InsertUnion",["insert_3"],"solve",4.40,0.50,0.00,0.0465
"bst-rocq","TypeBasedFuzzer","InsertUnion",["union_6"],"solve",7.70,1.90,0.00,0.0380
"bst-rocq","TypeBasedFuzzer","InsertUnion",["union_7"],"solve",7.70,0.10,0.00,0.0615
"bst-rocq","TypeBasedFuzzer","InsertUnion",["union_8"],"solve",10.00,99.90,0.00,0.0828
"bst-rocq","TypeBasedFuzzer","UnionDeleteInsert",["insert_1"],"solve",2.00,0.30,0.00,0.0065
"bst-rocq","TypeBasedFuzzer","UnionDeleteInsert",["insert_2"],"solve",3.60,0.20,0.00,0.0331
"bst-rocq","TypeBasedFuzzer","UnionDeleteInsert",["insert_3"],"solve",41.60,288.10,0.00,0.1484
"bst-rocq","TypeBasedFuzzer","UnionDeleteInsert",["delete_4"],"solve",2.40,0.70,0.00,0.0178
"bst-rocq","TypeBasedFuzzer","UnionDeleteInsert",["delete_5"],"solve",62.20,100.70,0.00,0.2044
"bst-rocq","TypeBasedFuzzer","UnionDeleteInsert",["union_6"],"solve",7.30,101.10,0.00,0.0568
"bst-rocq","TypeBasedFuzzer","UnionDeleteInsert",["union_7"],"solve",14.10,105.60,0.00,0.0739
"bst-rocq","TypeBasedFuzzer","UnionDeleteInsert",["union_8"],"solve",9.00,100.40,0.00,0.0662
"bst-rocq","TypeBasedFuzzer","InsertDelete",["insert_2"],"solve",55.20,82.30,0.00,0.0409
"bst-rocq","TypeBasedFuzzer","InsertDelete",["insert_3"],"solve",67.20,111.80,0.00,0.0665
"bst-rocq","TypeBasedFuzzer","InsertDelete",["delete_4"],"solve",2.10,0.00,0.00,0.0002
"bst-rocq","TypeBasedFuzzer","DeleteModel",["delete_4"],"solve",2.10,0.00,0.00,0.0002
"bst-rocq","TypeBasedFuzzer","DeleteModel",["delete_5"],"solve",169.10,157.30,0.00,0.0793
"bst-rocq","TypeBasedFuzzer","DeletePost",["delete_4"],"solve",NaN,NaN,NaN,NaN
"bst-rocq","TypeBasedFuzzer","DeletePost",["delete_5"],"solve",122.60,173.20,0.00,0.0585
"bst-rocq","TypeBasedFuzzer","DeleteDelete",["delete_4"],"solve",12462.40,5330.80,0.00,7.4290
"bst-rocq","TypeBasedFuzzer","DeleteDelete",["delete_5"],"solve",1133.90,178.70,0.00,0.4057
"bst-rocq","TypeBasedFuzzer","DeleteUnion",["delete_4"],"solve",355.70,2415.60,0.00,1.3333
"bst-rocq","TypeBasedFuzzer","DeleteUnion",["delete_5"],"solve",354.70,117.70,0.00,1.3368
"bst-rocq","TypeBasedFuzzer","DeleteUnion",["union_6"],"solve",400.70,1288.40,0.00,1.5348
"bst-rocq","TypeBasedFuzzer","DeleteUnion",["union_7"],"solve",989.90,0.30,0.00,4.0131
"bst-rocq","TypeBasedFuzzer","DeleteUnion",["union_8"],"solve",4265.20,21868.70,0.00,19.0437
"bst-rocq","TypeBasedFuzzer","UnionValid",["union_6"],"solve",13.60,0.60,0.00,0.0423
"bst-rocq","TypeBasedFuzzer","UnionValid",["union_7"],"solve",105.70,99.70,0.00,0.3332
"bst-rocq","TypeBasedFuzzer","UnionPost",["union_6"],"solve",7.70,5.10,0.00,0.0164
"bst-rocq","TypeBasedFuzzer","UnionPost",["union_7"],"solve",59.20,2.30,0.00,0.0582
"bst-rocq","TypeBasedFuzzer","UnionPost",["union_8"],"solve",548.00,717.80,0.00,0.2774
"bst-rocq","TypeBasedFuzzer","UnionModel",["union_6"],"solve",3.90,0.00,0.00,0.0229
"bst-rocq","TypeBasedFuzzer","UnionModel",["union_7"],"solve",378.10,99.90,0.00,1.8373
"bst-rocq","TypeBasedFuzzer","UnionModel",["union_8"],"solve",1732.30,15191.80,0.00,8.7500
"bst-rocq","TypeBasedFuzzer","UnionUnionAssoc",["union_6"],"solve",0.00,0.00,0.00,2.1386
"bst-rocq","TypeBasedFuzzer","UnionUnionAssoc",["union_7"],"solve",0.00,14631.00,0.00,5.9766
"bst-rocq","TypeBasedFuzzer","UnionUnionAssoc",["union_8"],"solve",NaN,NaN,NaN,NaN
"bst-rocq","TypeBasedFuzzer","UnionUnionIdem",["union_6"],"solve",0.00,0.00,0.00,0.0002
